category,part,vendor,sku_or_model,qty,unit_price_usd,subtotal_usd,link,notes,phase
frame,Holybro X500 V2 ARF Kit (frame + ESC + motor + propellers),Holybro,X500-V2-ARF,1,380,380,https://holybro.com/products/x500-v2-kits,Use kit minus the included flight controller; we install Cube Orange+,phase-1
flight_controller,Cube Orange+ with Carrier Standard,Hex/ProfiCNC,CUBE-ORANGE-PLUS-STANDARD,1,350,350,https://www.cubepilot.com/,Triple-redundant IMU; ArduPilot Copter 4.6 reference platform,phase-1
gps,Holybro H-RTK F9P Helical (cm-grade RTK),Holybro,H-RTK-F9P-HELICAL,1,270,270,https://holybro.com/collections/gps,Sub-meter geo-tagging on smoke evidence,phase-1
telemetry_radio,Holybro SiK Telemetry Radio V3 915 MHz,Holybro,SIK-V3-915,1,80,80,https://holybro.com/collections/sik-telemetry-radio,Long-range telemetry to ground station,phase-1
edge_compute,Jetson Orin Nano Super 8GB Dev Kit,NVIDIA,945-13766-0005-000,1,249,249,https://www.nvidia.com/en-us/autonomous-machines/embedded-systems/jetson-orin/nano-super-developer-kit/,67 TOPS edge AI; see ADR-0001,phase-1
edge_compute_psu,Pololu 5V 5A step-down regulator,Pololu,2853,1,18,18,https://www.pololu.com/product/2853,Powers Jetson from main pack via XT60 tap,phase-1
storage,Samsung 990 EVO 500GB NVMe M.2,Samsung,MZ-V9E500BW,1,55,55,https://www.samsung.com/us/computing/memory-storage/solid-state-drives/990-evo-pcie-4-0-nvme-ssd-500gb-mz-v9e500bw/,For Jetson model + flight log buffer,phase-1
camera_rgb,Arducam IMX477 12MP MIPI-CSI Jetson Kit,Arducam,B0249,1,75,75,https://www.arducam.com/product/imx477-jetson-camera/,Sony IMX477 sensor with Jetson-compatible ribbon,phase-1
camera_thermal,FLIR Lepton 3.5 + PureThermal 3 USB carrier,GroupGets,GG-LEPTON35-PT3,1,250,250,https://groupgets.com/products/flir-lepton-3-5,160x120 LWIR radiometric thermal,phase-1
audio,Adafruit I2S MEMS Microphone SPH0645,Adafruit,3421,1,7,7,https://www.adafruit.com/product/3421,For BirdNET; perch / hover mode only,phase-1
audio_windscreen,Foam windscreen 25mm,various,WIND-25,1,5,5,,Reduces rotor-noise contamination,phase-1
lte_modem,Quectel EC25-AF mini-PCIe + Sixfab Jetson HAT,Sixfab,JET-CELL,1,220,220,https://sixfab.com/product/cellular-modem-kit-for-jetson-nano/,LTE Cat 4 backup uplink,phase-1
adsb_in,uAvionix pingRX Pro receiver,uAvionix,PINGRXPRO,1,245,245,https://uavionix.com/products/pingrx-pro/,Required for BVLOS waiver,phase-1
remote_id,uAvionix pingRID broadcast module,uAvionix,PINGRID,1,90,90,https://uavionix.com/products/pingrid/,FAA Remote ID compliance,phase-1
battery,Tattu 4S 8000mAh Li-Ion XT60,GensTattu,TA-LION-4S8000,1,95,95,https://www.genstattu.com/,~35-40 min target endurance,phase-1
charger,ISDT Q8 500W RC charger,ISDT,Q8-500W,1,120,120,https://www.isdt.co/,Field-portable LiPo/Li-Ion charger,phase-1
power_distribution,XT60 + 12 AWG silicone wire + heat shrink + zip ties,various,MISC-WIRE,1,30,30,,Bulk wiring + connectors,phase-1
